version,change,regarding vaccines
Версия 1.5.21,Създадена номенклатура CL148 във връзка с регистър на Заразните болести,false
Версия 1.5.21,"Номенклатура CL011 - добавяне на нови заболявания с кодове: J09, U04, U04.9",false
Версия 1.5.21,Номенклатура CL011 - добавяне на колона към Meta data с информация за това дали конкретния МКБ код е за заразно заболяване - Contagious (релация към CL148),false
Версия 1.5.21,Създадена номенклатура CL149 за категоризация на случаите на заразни заболявания,false
Версия 1.5.21,Номенклатура CL038 - добавяне на колони към Meta data с информация за имена при мигрирани данни от НЗОК - колони Display transfered data BG и Display transfered data EN,true
Версия 1.5.21,"Номенклатура CL038 - добавяне на колона към Meta data с информация за групата на имунизационните програми - Program Group, която преди беше представена като отделни редове и липсваше в данните по отделните кодове",true
Версия 1.5.21,Номенклатура CL018 - добавяне на код 10 за здравен експерт от МОН,false
Версия 1.5.21,Номенклатура CL018 - добавяне на код 11 за инспектор от ИАМН,false
Версия 1.5.21,Създадена номенклатура CL150 за редки заболявания по Orhpanet,false
Версия 1.5.21,Номенклатура CL078 - добавяне на колони към Meta data с информация за описание при редки заболявания - Orpha diseases label BG и Orpha diseases label EN,false
Версия 1.5.21,Номенклатура CL084 - корекция в наименованието на номенклатурата,false
Версия 1.5.21,Номенклатура CL086 - корекция в наименованието на номенклатурата,false
