version,change
Версия 1.2.4,"Добавена нова колона ""Permit Owner ID"" в мета-данните за номенклатура CL037 със стойности за 4-те COVID ваксини"
Версия 1.2.4,"Променено името на колона ""Permit Owner Name"" в мета-данните за номенклатура CL037 и коригирани стойности за 4-те COVID ваксини"
Версия 1.2.4,"Добавена нова колона ""SNOMED"" в мета-данните за номенклатура CL030 със стойности за първите два резултата"
Версия 1.2.4,Коригиран ред в CL005 - LB Ливан Lebanon
Версия 1.2.4,Ред BU в CL005 e направен неактивен
Версия 1.2.4,"Променено името на колона ""NSCRLP Code"" на ""CL009 Mapping"" в номенклатура CL026"
Версия 1.2.4,"Добавена нова колона ""CL010 Mapping"" в номенклатура CL026"
Версия 1.2.4,Коригирано описание на ред BQ в номенклатура CL005
Версия 1.2.4,Коригирано описание на ред GB в номенклатура CL005
Версия 1.2.4,"Сменено името на CL056 на ""Медицински инструменти"""
Версия 1.2.4,Добавена номенклатура CL057
Версия 1.2.4,Добавена номенклатура CL058
Версия 1.2.4,"Променени редовете по номенклатура CL056 спрямо последните данни от ЕК за DGC. Добавени мета колони ""CL057 Mapping"" и ""CL058 Mapping"""
Версия 1.2.4,"Добавен нов ред с код ""VNT001"" в номенклатура CL022"
