version,change,change EN,regarding vaccines
1.5.3,"Добавен нови кодове: ""D-09-004"" и ""D-09-005"" в номенклатура CL110","Added new codes: ""D-09-004"" and ""D-09-005"" in nomenclature CL110",false
1.5.3,"Актуализация на Meta Data - ""ACHI Code"" за кодове: 0C-015, 0C-124 и 0C-165 в номенклатура CL022","Update of Meta Data - ""ACHI Code"" for codes: 0C-015, 0C-124 and 0C-165 in nomenclature CL022",false
1.5.3,"Коригирано наименование на поле в колона ""C"" ред 17 от номенклатура CL132","Corrected field name in column ""C"" row 17 from nomenclature CL132",false
1.5.3,"Възстановяване на записи от версия 1.2.7 в номенклатура CL050, в това число на кодове: 02-002, 09-019, 10-022, 09-023, 11-025, 14-032, 17-041, 19-043, 19-044, 24-003, 20-006, 20-007, 29-011, 27-016, 29-019, 31-023, 36-037, 36-038, 36-040, 35-041, 47-046, 58-087, 56-088, 60-103, 60-104, 64-119, 64-120, 65-122, 65-135, 65-136, 67-143, 68-146, 68-148, 68-149, 69-150, 69-152, 70-161, 67-189, 71-193, 65-229, 73-231, 73-232, 69-296, 74-305, 74-306, 70-343, 71-350, 71-352, 69-378, 71-384, 71-385, 67-386, 80-389, 79-390, 77-392, 77-396, 77-398, 77-399, 77-401, 77-402, 77-403, 77-404, 59-095, 71-157, 71-388, 71-195, 73-287, 73-288, 73-289, 73-290, 73-291, 70-344, 70-345, 71-346, 71-347, 71-348, 71-349, 73-355, 70-359, 71-383, 71-190, 74-303, 74-304, 28-010, 33-020, 67-387, 71-353","Restoration of records from version 1.2.7 in nomenclature CL050, in this number of codes: 02-002, 09-019, 10-022, 09-023, 11-025, 14-032, 17-041, 19-043, 19-044, 24-003, 20-006, 20-007, 29-011, 27-016, 29-019, 31-023, 36-037, 36-038, 36-040, 35-041, 47-046, 58-087, 56-088, 60-103, 60-104, 64-119, 64-120, 65-122, 65-135, 65-136, 67-143, 68-146, 68-148, 68-149, 69-150, 69-152, 70-161, 67-189, 71-193, 65-229, 73-231, 73-232, 69-296, 74-305, 74-306, 70-343, 71-350, 71-352, 69-378, 71-384, 71-385, 67-386, 80-389, 79-390, 77-392, 77-396, 77-398, 77-399, 77-401, 77-402, 77-403, 77-404, 59-095, 71-157, 71-388, 71-195, 73-287, 73-288, 73-289, 73-290, 73-291, 70-344, 70-345, 71-346, 71-347, 71-348, 71-349, 73-355, 70-359, 71-383, 71-190, 74-303, 74-304, 28-010, 33-020, 67-387, 71-353",false
1.5.3,"Актуализиране на Description, Display value BG и Display value EN в номенклатура CL132 при всички налични записи","Updating of Description, Display value BG and Display value EN in nomenclature CL132 for all available records",false
1.5.3,"Актуализиране на age и max age при всички ваксини в номенклатура CL132 в това число на кодове: V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17","Updating of age and max age for all vaccines in nomenclature CL132 in this number of codes: V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17",true
1.5.3,"Изравняване на данните за age и max age с цел записите да са валидни в рамките на календарната година на навършване на възрастта в номенклатура CL132 за кодове: J7, J7M, J8, J9, J10, J10M, J11, J12, J13, J13M, J14, J15, J16, J16M, J17, A30, A31, A32, A33, A34, A35, A36, A37, A38, A39","Alignment of data for age and max age to records to are valid in within of calendar year of turning of age in nomenclature CL132 for codes: J7, J7M, J8, J9, J10, J10M, J11, J12, J13, J13M, J14, J15, J16, J16M, J17, A30, A31, A32, A33, A34, A35, A36, A37, A38, A39",false
1.5.3,"Корекция на данните за max age с цел избягване на застъпване със следващ преглед в номенклатура CL132 в това число на кодове: A2M30, A4M30, A4M32, A4M34, A2M35, A4M36, A4M38, A2M40, A3M40, A4M40, A4M42, A4M44, A3M45, A2M45, A4M46, A4M48, A3M50, A2M50, A8M50, A8M52, A8M54, A3M55, A2M55, A8M56, A8M58, A8M60, A2M60, A8M62, A8M64, A8M66","Correction of data for max age to avoidance of overlap with next examination in nomenclature CL132 in this number of codes: A2M30, A4M30, A4M32, A4M34, A2M35, A4M36, A4M38, A2M40, A3M40, A4M40, A4M42, A4M44, A3M45, A2M45, A4M46, A4M48, A3M50, A2M50, A8M50, A8M52, A8M54, A3M55, A2M55, A8M56, A8M58, A8M60, A2M60, A8M62, A8M64, A8M66",false
1.5.3,"Корекция на данни за Display value EN в номенклатура CL132 за кодове: V3, V5, V6, V11, V12, V15","Correction of data for Display value EN in nomenclature CL132 for codes: V3, V5, V6, V11, V12, V15",false
1.5.3,Добавен код 75-390-01 в номенклатура CL088,Added code 75-390-01 in nomenclature CL088,false
