version,change
Версия 1.4.11,"Добавена нова колона ""CL037 Mapping (2024)"" към номенклатура CL038 - разликите спрямо 2023 са маркирани в жълто"
Версия 1.4.11,"Код 71 е преместен към Национални програми, преименуван е и е променен броят на дозите в номенклатура CL038"
Версия 1.4.11,Код 70 е преименуван и е с променен брой на дозите в номенклатура CL038
Версия 1.4.11,Прекратен запис -1001 в номенклатура CL037
Версия 1.4.11,Прекратен запис -1002 в номенклатура CL037
Версия 1.4.11,Прекратен запис -1003 в номенклатура CL037
Версия 1.4.11,Прекратен запис -1004 в номенклатура CL037
Версия 1.4.11,Прекратен запис -1006 в номенклатура CL037
Версия 1.4.11,Прекратен запис 1541 в номенклатура CL037
Версия 1.4.11,Прекратен запис 4184 в номенклатура CL037
Версия 1.4.11,Прекратен запис 1653 в номенклатура CL037
Версия 1.4.11,Прекратен запис 7401 в номенклатура CL037
Версия 1.4.11,Прекратен запис 3932 в номенклатура CL037
Версия 1.4.11,Добавен код 15210 в номенклатура CL037
Версия 1.4.11,Добавен код 57335 в номенклатура CL037
Версия 1.4.11,Добавен код 61121 в номенклатура CL037
Версия 1.4.11,"Коригирано ""Medicament details"" на запис 15497 в номенклатура CL037"
Версия 1.4.11,"Коригирано ""Medicament details"", ""Number of doses"", ""Days to Next Dose"" на запис 16146 в номенклатура CL037"
