version,change
Версия 1.4.12,Добавен нов код 152 в номенклатура CL087
Версия 1.4.12,Промяна в наименованието на код 141
Версия 1.4.12,Промяна в наименованието на код 142
Версия 1.4.12,Заличени 8 броя кодове в номенклатура CL087
Версия 1.4.12,"Премахнат код ""K"" на ред 32 колона F в номенклатура CL107"
Версия 1.4.12,"Премахнат код ""F"" на ред 24 колона F в номенклатура CL107"
Версия 1.4.12,"Премахнат код ""Е"" на ред 38 колона F в номенклатура CL107"
Версия 1.4.12,"Премахнат код ""S"" на ред 23 колона F в номенклатура CL107"
Версия 1.4.12,"Премахнат код ""D"" на ред 23 колона F в номенклатура CL107"
Версия 1.4.12,"Премахнат код ""Е"" на ред 34 колона F в номенклатура CL107"
Версия 1.4.12,Коригиранo наименование на ред 6 колона B в номенклатура CL107
Версия 1.4.12,Коригиранo наименование на ред 16 колона B  в номенклатура CL107
Версия 1.4.12,Промяна в наименованието при код 70 и код 71 в номенклатура CL038
Версия 1.4.12,Създадена номенклатура CL135
Версия 1.4.12,Коригирано наименование на ред 6 колона C  в номенклатура CL107
