version,change,regarding vaccines
Версия 1.2.6,"Добавени нови колони ""Quantity"", ""Divisible"", ""Narcotic"", ""Target Disease"", ""Prescription Type"" в номенклатура CL026",false
Версия 1.2.6,Номенклатура CL026 е сведена до няколко примерни реда; данните за тази номенклатура се синхронизират автоматично от НЗОК,false
Версия 1.2.6,Добавени 2 реда с кодове Т4 и Т5 в номенклатура CL007,false
Версия 1.2.6,Коригирани описанията на всички редове в номенклатура CL007,false
Версия 1.2.6,Номенклатура CL009 е сведена до няколко примерни реда; данните за тази номенклатура се синхронизират автоматично от НСЦРЛП,false
Версия 1.2.6,Добавен нов ред в номенклатура CL002 за статус 6 на е-рецепта,false
Версия 1.2.6,Добавен нов ред в номенклатура CL014 за направление R4,false
Версия 1.2.6,Добавен нов ред в номенклатура CL003 за статус 8 на е-направление,false
Версия 1.2.6,Добавена номенклатура CL059,false
Версия 1.2.6,Добавена номенклатура CL060,false
Версия 1.2.6,Добавена номенклатура CL061,false
Версия 1.2.6,Добавена номенклатура CL062,false
Версия 1.2.6,Добавена номенклатура CL063,false
Версия 1.2.6,Добавена номенклатура CL064,false
Версия 1.2.6,Добавена номенклатура CL065,false
Версия 1.2.6,Добавена номенклатура CL066,false
Версия 1.2.6,Добавена номенклатура CL067,false
Версия 1.2.6,Добавена номенклатура CL068,false
Версия 1.2.6,Добавена номенклатура CL069,false
Версия 1.2.6,Добавена номенклатура CL070,false
Версия 1.2.6,Добавена номенклатура CL071,false
Версия 1.2.6,Добавена номенклатура CL072,false
Версия 1.2.6,Добавена номенклатура CL073,false
Версия 1.2.6,Добавена номенклатура CL074,false
Версия 1.2.6,Добавена номенклатура CL075,false
Версия 1.2.6,Добавена номенклатура CL076,false
Версия 1.2.6,Добавена номенклатура CL077,false
Версия 1.2.6,Добавена номенклатура CL078,false
Версия 1.2.6,Добавена номенклатура CL079,false
Версия 1.2.6,Добавена номенклатура CL080,false
Версия 1.2.6,Добавена номенклатура CL081,false
Версия 1.2.6,Добавен нов ред в номенклатура CL002 за статус 7 на е-рецепта,false
