version,change
Версия 1.4.6,"Добавен код 48571  в колона ""Е"" в Key 77 в номенклатура CL038"
Версия 1.4.6,"Добавен код 48571  в колона ""Е"" в Key 78 в номенклатура CL038"
Версия 1.4.6,"Добавен код 48571  в колона ""Е"" в Key 79 в номенклатура CL038"
Версия 1.4.6,"Добавен код 48571  в колона ""Е"" в Key 80 в номенклатура CL038"
Версия 1.4.6,"Добавен код 48571  в колона ""Е"" в Key 81 в номенклатура CL038"
Версия 1.4.6,"Добавен код "" P123.1 "" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P123.2"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P123.3"" в номенклатура CL062"
Версия 1.4.6,"Добавен код "" P123.4"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P248.1"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P248.2"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P260.1"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P260.2"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P263.1"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P263.2"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P265.1"" в номенклатура CL062"
Версия 1.4.6,"Добавен код ""P265.2"" в номенклатура CL062"
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W001"" става ""Е001"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W002"" става ""Е002"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W003"" става ""Е003"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W004"" става ""Е004"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W005"" става ""Е005"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W006"" става ""Е006"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W007"" става ""Е007"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W008"" става ""Е008"""
Версия 1.4.6,"Коригирана стойност в колона ""Key"" в номенклатура CL998 от ""W009"" става ""Е009"""
Версия 1.4.6,Добавен код 16146 в номенклатура CL037
Версия 1.4.6,"Мапинг към код 16146 в колона ""Е"" ред 94 в номенклатура CL038"
Версия 1.4.6,"Добавени кодове ""00-02A"" до ""00-02D"", ""04-02D"", ""04-02E"", ""04-02F"", ""04-030"" в номенклатура CL022"
Версия 1.4.6,"Добавени кодове ""00-02A-00"" до ""00-02D-00"", ""04-02D-00"", ""04-02E-00"", ""04-02F-00"", ""04-030-00"" до ""04-030-17"" в номенклатура CL024"
Версия 1.4.6,"Код ""00-00D"" в номенклатура CL022 става невалиден след 09.10.2023 - използвайте прецизираните кодове ""00-02B"", ""00-02C"" вместо това"
Версия 1.4.6,"Код ""00-00D-00"" в номенклатура CL024 става невалиден след 09.10.2023"
Версия 1.4.6,"Коригирано описанието на ""00-00C"", ""04-014"" в номенклатура CL022"
Версия 1.4.6,"Коригирани описание и стойности за измерване на ""00-00C-00"" в номенклатура CL024"
Версия 1.4.6,"Коригиран изцяло код ""04-014-00"" в номенклатура CL024"
Версия 1.4.6,"Добавен код ""3"" в номенклатура CL032"
Версия 1.4.6,"Добавени кодове ""11"" до ""14"" в номенклатура CL030"
Версия 1.4.6,Създадена номенклатура CL120
Версия 1.4.6,Създадена номенклатура CL121
Версия 1.4.6,Създадена номенклатура CL122 (незавършена – да не се използва!)
