version,change,change EN,regarding vaccines
1.3.7,"Коригирана колона ""CL022 Mapping"" за редове ""0F-112-00"", ""0F-113-00"", ""0F-114-00"", ""0F-115-00"", ""0F-116-00"", ""0F-117-00"", ""0F-118-00"", ""0F-119-00"", ""0F-11A-00"", ""0F-11B-00"", ""0F-11C-00"", ""0F-11D-00"", ""0F-120-00"" в номенклатура CL024","Corrected column ""CL022 Mapping"" for rows ""0F-112-00"", ""0F-113-00"", ""0F-114-00"", ""0F-115-00"", ""0F-116-00"", ""0F-117-00"", ""0F-118-00"", ""0F-119-00"", ""0F-11A-00"", ""0F-11B-00"", ""0F-11C-00"", ""0F-11D-00"", ""0F-120-00"" in nomenclature CL024",false
1.3.7,Коригиран код Q90.3 на Q90.9 в номенклатура CL011,Corrected code Q90.3 of Q90.9 in nomenclature CL011,false
1.3.7,Добавен код M94.2 в номенклатура CL011,Added code M94.2 in nomenclature CL011,false
1.3.7,Добавена номенклaтура CL097,Added nomenclature CL097,false
1.3.7,Добавена номенклaтура CL098,Added nomenclature CL098,false
1.3.7,Добавена номенклaтура CL099,Added nomenclature CL099,false
1.3.7,"Добавени нови редове ""00-027"", ""00-028"", ""00-029"" в номенклатура CL022","Added new rows ""00-027"", ""00-028"", ""00-029"" in nomenclature CL022",false
1.3.7,"Добавени нови редове ""00-027-00"", ""00-028-00"", ""00-029-00"" в номенклатура CL024","Added new rows ""00-027-00"", ""00-028-00"", ""00-029-00"" in nomenclature CL024",false
1.3.7,"Промемен ред ""8"" на номенклатура CL060","Changed row ""8"" of nomenclature CL060",false
1.3.7,"Добавен нов ред ""9"" в номенклатура CL060","Added new row ""9"" in nomenclature CL060",false
1.3.7,"Добавен нов ред ""0"" в номенклатура CL004","Added new row ""0"" in nomenclature CL004",false
1.3.7,Добавена номенклaтура CL100,Added nomenclature CL100,false
