version,change,change EN,regarding vaccines
1.5.26,Създадена номенклатура CL151 за Статус на заявка за достъп до пациентско досие през НЗИС,Created nomenclature CL151 for status of request for access until patient record through NHIS,false
1.5.26,Номенклатура CL038 - промяна в Min age за код 71,Nomenclature CL038 - change in Min age for code 71,true
1.5.26,Номенклатура CL096 - премахнат дублиран запис с код 416 - Процедури за изследване на фаринкс / Procedures for examination of pharynx,Nomenclature CL096 - removed duplicate record with code 416 - Procedures for examination of pharynx / Procedures for examination of pharynx,false
1.5.26,Номенклатура CL132 - премахната стойност за Max age при V17 тъй като дублира данните за Recurring и интервал,Nomenclature CL132 - removed value for Max age for V17 because duplicates data for Recurring and interval,false
1.5.26,Номенклатура CL096 - промяна в етикетите на български език на кодове: 223. 225. 226. 228. 229,Nomenclature CL096 - change in labels of Bulgarian language of codes: 223. 225. 226. 228. 229,false
1.5.26,Номенклатура CL999 - добавени стойности за български език за всички кодове,Nomenclature CL999 - added values for Bulgarian language for all codes,false
1.5.26,Номенклатура CL998 - добавяне на нов код W100,Nomenclature CL998 - addition of new code W100,false
1.5.26,"Номенклатура CL150 - промяна в стойността на Description, Display value BG и Display value EN на редове с ключове: 1190800256, 1190900257, 1191200258, 1191400259, 1191800260, 1743800305","Nomenclature CL150 - change in the value of Description, Display value BG and Display value EN of rows with keys: 1190800256, 1190900257, 1191200258, 1191400259, 1191800260, 1743800305",false
1.5.26,"Номенклатура CL011 - промяна в стойността на Description, Display value BG и Display value EN на редове с ключ: B76, B76.0, B82, B82.9, C08.9, C14.0, C17.0, C17.3, C18.0, C18.1, C25.4, C38.0, C38.4, C40.1, C40.2, C40.3, C41.0, C41.2, C41.3, C41.4, C44.0, C44.1, C44.2, C44.3, C44.4, C44.5, C44.6, C44.7, C48.0, C53.0, C53.1, C53.9, C54.1, C57.9, C62.0, C63.0, C63.2, C63.9, C68.0, C69.0, C69.1, C69.2, C69.3, C69.4, C69.5, C69.9, C72.0, C72.9, C75.0, C75.1, C75.2, C75.3, C75.5, D00.1, D00.2, D01.0, D01.1, D01.2, D01.3, D01.5, D02.0, D02.1, D04.2, D04.3, D04.4, D04.5, D04.7, D04.9, D06.0, D06.1, D06.9, D07.0, D07.1, D07.4, D07.5, D09.0, D10.9, D11.9, D12.0, D12.1, D12.7, D12.8, D12.9, D13.0, D13.1, D13.2, D13.7, D14.1, D14.2, D15.0, D15.1, D15.2, D16.1, D16.2, D16.3, D16.4, D16.6, D16.7, D16.8, D20.0, D20.1, D23.0, D23.1, D23.2, D23.3, D23.4, D23.5, D23.6, D23.7, D23.9, D28.0, D28.9, D29.0, D29.1, D29.2, D29.3, D29.4, D29.7, D29.9, D30.0, D30.1, D30.2, D30.3, D30.4, D30.7, D31.0, D31.1, D31.2, D31.3, D31.4, D31.5, D31.9, D33.0, D33.1, D33.2, D33.3, D33.4, D33.7, D35.0, D35.1, D35.2, D35.3, D35.4, D35.5, D35.6, D35.8, D35.9, D36.1, D36.7, D37.1, D37.3, D37.4, D37.5, D37.6, D38.0, D38.2, D38.3, D38.4, D40.0, D40.1, D40.7, D41.0, D41.1, D41.2, D41.3, D41.4, D41.7, D43.0, D43.1, D43.2, D43.3, D43.4, D43.7, D43.9, D44.1, D44.2, D44.3, D44.4, D44.5, D44.6, D44.7, D44.8, D44.9, D48.2, D48.3, D48.4, D48.7, E56, E56.8, I24, I24.8, M24.9, M24.90, M24.91, M24.92, M24.93, M24.94, M24.95, M24.96, M24.97, M24.98, M24.99, M25.9, M25.90, M25.91, M25.92, M25.93, M25.94, M25.95, M25.96, M25.97, M25.98, M25.99, N82.1, N82.8, P03, P03.8, P61.3, P62.3, Q43.0, Q53, R09.0, S26.0, S26.00, S27.40, S27.50, S77, S77.2, T36.0, T36.3, T36.4, T36.7, T36.9, T37.1, T38.2, T38.4, T38.5, T38.6, T39.0, T39.4, T41.5, T42.0, T42.1, T42.4, T43.0, T43.2, T43.6, T43.9, T44.0, T44.2, T45.0, T45.2, T45.5, T45.7, T46.5, T46.6, T47.5, T48.4, T48.6, T49.1, T71, T75.2, T98, T98.1, V19.5, V19.50, V19.51, V19.52, V19.53, V19.54, V19.58, V19.59, V29.0, V29.00, V29.01, V29.02, V29.03, V29.04, V29.08, V29.09, V29.1, V29.10, V29.11, V29.12, V29.13, V29.14, V29.18, V29.19, V29.5, V29.50, V29.51, V29.52, V29.53, V29.54, V29.58, V29.59, V39.0, V39.00, V39.01, V39.02, V39.03, V39.04, V39.08, V39.09, V39.1, V39.10, V39.11, V39.12, V39.13, V39.14, V39.18, V39.19, V39.4, V39.40, V39.41, V39.42, V39.43, V39.44, V39.48, V39.49, V39.5, V39.50, V39.51, V39.52, V39.53, V39.54, V39.58, V39.59, V49.0, V49.00, V49.01, V49.02, V49.03, V49.04, V49.08, V49.09, V49.4, V49.40, V49.41, V49.42, V49.43, V49.44, V49.48, V49.49, V49.5, V49.50, V49.51, V49.52, V49.53, V49.54, V49.58, V49.59, V59.0, V59.00, V59.01, V59.02, V59.03, V59.04, V59.08, V59.09, V59.1, V59.10, V59.11, V59.12, V59.13, V59.14, V59.18, V59.19, V59.4, V59.40, V59.41, V59.42, V59.43, V59.44, V59.48, V59.49, V59.5, V59.50, V59.51, V59.52, V59.53, V59.54, V59.58, V59.59, V69.4, V69.40, V69.41, V69.42, V69.43, V69.44, V69.48, V69.49, V69.5, V69.50, V69.51, V69.52, V69.53, V69.54, V69.58, V69.59, V79.0, V79.00, V79.01, V79.02, V79.03, V79.04, V79.08, V79.09, V79.1, V79.10, V79.11, V79.12, V79.13, V79.14, V79.18, V79.19, V79.4, V79.40, V79.41, V79.42, V79.43, V79.44, V79.48, V79.49, V79.5, V79.50, V79.51, V79.52, V79.53, V79.54, V79.58, V79.59, W42, W43, Y11.33, Y11.34, Y11.53, Y11.54, Y40.0, Y40.3, Y40.4, Y40.7, Y40.9, Y41.1, Y42.2, Y42.4, Y42.5, Y42.6, Y43.0, Y44.2, Y44.3, Y45.1, Y45.4, Y46.2, Y46.4, Y47.1, Y48.5, Y49.0, Y49.2, Y49.7, Y49.9, Y51.0, Y51.2, Y51.4, Y51.5, Y51.6, Y51.7, Y52.5, Y52.6, Y53.5, Y55.4, Y55.6, Y56.1, Y57.7, Y60.0, Y60.1, Y60.2, Y60.3, Y60.4, Y60.5, Y60.6, Y60.8, Y60.9, Y61.0, Y61.1, Y61.2, Y61.3, Y61.4, Y61.5, Y61.6, Y61.8, Y61.9, Y62.0, Y62.1, Y62.2, Y62.3, Y62.4, Y62.5, Y62.6, Y62.8, Y62.9, Z58.0","Nomenclature CL011 - change in the value of Description, Display value BG and Display value EN of rows with key: B76, B76.0, B82, B82.9, C08.9, C14.0, C17.0, C17.3, C18.0, C18.1, C25.4, C38.0, C38.4, C40.1, C40.2, C40.3, C41.0, C41.2, C41.3, C41.4, C44.0, C44.1, C44.2, C44.3, C44.4, C44.5, C44.6, C44.7, C48.0, C53.0, C53.1, C53.9, C54.1, C57.9, C62.0, C63.0, C63.2, C63.9, C68.0, C69.0, C69.1, C69.2, C69.3, C69.4, C69.5, C69.9, C72.0, C72.9, C75.0, C75.1, C75.2, C75.3, C75.5, D00.1, D00.2, D01.0, D01.1, D01.2, D01.3, D01.5, D02.0, D02.1, D04.2, D04.3, D04.4, D04.5, D04.7, D04.9, D06.0, D06.1, D06.9, D07.0, D07.1, D07.4, D07.5, D09.0, D10.9, D11.9, D12.0, D12.1, D12.7, D12.8, D12.9, D13.0, D13.1, D13.2, D13.7, D14.1, D14.2, D15.0, D15.1, D15.2, D16.1, D16.2, D16.3, D16.4, D16.6, D16.7, D16.8, D20.0, D20.1, D23.0, D23.1, D23.2, D23.3, D23.4, D23.5, D23.6, D23.7, D23.9, D28.0, D28.9, D29.0, D29.1, D29.2, D29.3, D29.4, D29.7, D29.9, D30.0, D30.1, D30.2, D30.3, D30.4, D30.7, D31.0, D31.1, D31.2, D31.3, D31.4, D31.5, D31.9, D33.0, D33.1, D33.2, D33.3, D33.4, D33.7, D35.0, D35.1, D35.2, D35.3, D35.4, D35.5, D35.6, D35.8, D35.9, D36.1, D36.7, D37.1, D37.3, D37.4, D37.5, D37.6, D38.0, D38.2, D38.3, D38.4, D40.0, D40.1, D40.7, D41.0, D41.1, D41.2, D41.3, D41.4, D41.7, D43.0, D43.1, D43.2, D43.3, D43.4, D43.7, D43.9, D44.1, D44.2, D44.3, D44.4, D44.5, D44.6, D44.7, D44.8, D44.9, D48.2, D48.3, D48.4, D48.7, E56, E56.8, I24, I24.8, M24.9, M24.90, M24.91, M24.92, M24.93, M24.94, M24.95, M24.96, M24.97, M24.98, M24.99, M25.9, M25.90, M25.91, M25.92, M25.93, M25.94, M25.95, M25.96, M25.97, M25.98, M25.99, N82.1, N82.8, P03, P03.8, P61.3, P62.3, Q43.0, Q53, R09.0, S26.0, S26.00, S27.40, S27.50, S77, S77.2, T36.0, T36.3, T36.4, T36.7, T36.9, T37.1, T38.2, T38.4, T38.5, T38.6, T39.0, T39.4, T41.5, T42.0, T42.1, T42.4, T43.0, T43.2, T43.6, T43.9, T44.0, T44.2, T45.0, T45.2, T45.5, T45.7, T46.5, T46.6, T47.5, T48.4, T48.6, T49.1, T71, T75.2, T98, T98.1, V19.5, V19.50, V19.51, V19.52, V19.53, V19.54, V19.58, V19.59, V29.0, V29.00, V29.01, V29.02, V29.03, V29.04, V29.08, V29.09, V29.1, V29.10, V29.11, V29.12, V29.13, V29.14, V29.18, V29.19, V29.5, V29.50, V29.51, V29.52, V29.53, V29.54, V29.58, V29.59, V39.0, V39.00, V39.01, V39.02, V39.03, V39.04, V39.08, V39.09, V39.1, V39.10, V39.11, V39.12, V39.13, V39.14, V39.18, V39.19, V39.4, V39.40, V39.41, V39.42, V39.43, V39.44, V39.48, V39.49, V39.5, V39.50, V39.51, V39.52, V39.53, V39.54, V39.58, V39.59, V49.0, V49.00, V49.01, V49.02, V49.03, V49.04, V49.08, V49.09, V49.4, V49.40, V49.41, V49.42, V49.43, V49.44, V49.48, V49.49, V49.5, V49.50, V49.51, V49.52, V49.53, V49.54, V49.58, V49.59, V59.0, V59.00, V59.01, V59.02, V59.03, V59.04, V59.08, V59.09, V59.1, V59.10, V59.11, V59.12, V59.13, V59.14, V59.18, V59.19, V59.4, V59.40, V59.41, V59.42, V59.43, V59.44, V59.48, V59.49, V59.5, V59.50, V59.51, V59.52, V59.53, V59.54, V59.58, V59.59, V69.4, V69.40, V69.41, V69.42, V69.43, V69.44, V69.48, V69.49, V69.5, V69.50, V69.51, V69.52, V69.53, V69.54, V69.58, V69.59, V79.0, V79.00, V79.01, V79.02, V79.03, V79.04, V79.08, V79.09, V79.1, V79.10, V79.11, V79.12, V79.13, V79.14, V79.18, V79.19, V79.4, V79.40, V79.41, V79.42, V79.43, V79.44, V79.48, V79.49, V79.5, V79.50, V79.51, V79.52, V79.53, V79.54, V79.58, V79.59, W42, W43, Y11.33, Y11.34, Y11.53, Y11.54, Y40.0, Y40.3, Y40.4, Y40.7, Y40.9, Y41.1, Y42.2, Y42.4, Y42.5, Y42.6, Y43.0, Y44.2, Y44.3, Y45.1, Y45.4, Y46.2, Y46.4, Y47.1, Y48.5, Y49.0, Y49.2, Y49.7, Y49.9, Y51.0, Y51.2, Y51.4, Y51.5, Y51.6, Y51.7, Y52.5, Y52.6, Y53.5, Y55.4, Y55.6, Y56.1, Y57.7, Y60.0, Y60.1, Y60.2, Y60.3, Y60.4, Y60.5, Y60.6, Y60.8, Y60.9, Y61.0, Y61.1, Y61.2, Y61.3, Y61.4, Y61.5, Y61.6, Y61.8, Y61.9, Y62.0, Y62.1, Y62.2, Y62.3, Y62.4, Y62.5, Y62.6, Y62.8, Y62.9, Z58.0",false
1.5.26,"Номенклатура CL025 - промяна в стойността на Description, Display value BG и Display value EN на редове с ключове: 376, 435, 461, 1051, 1693, 1821","Nomenclature CL025 - change in the value of Description, Display value BG and Display value EN of rows with keys: 376, 435, 461, 1051, 1693, 1821",false
